apt_code,apt_name,si,gu,dong,연면적,관리비부과면적,total_home_num,일반인원,경비인원,청소인원,const_firm,const_complete,건축면적,아파트평형,층수,parking_num,아파트시설,전기안전관리방법,화재수신반유무,홈네트워크-주차관제시스템,예산지출액,경비실CCTV카메라수,경비실CCTV모니터수,택비방식,경비예산 지출액,경비근무형태,음식물처리방식,청소 연간예산 지출액,청소세대당청소인원,소독면적,소독 년 예산 지출액,엘리베이터 수,엘리베이터 계약방식,엘리베이터 설치년도 운행,엘리베이터 종류,엘리베이터 운행층,엘리베이터 관리형태,엘리베이터 년 예산지출,엘리베이터 수리비,엘리베이터 월수리건수,수선유지충당금,수선유지대체금,전체동수,급수시설,주소(나머지),아파트고유번호,우편번호,좌표X,좌표Y,주소(도로명),주소(도로 상세주소),법정동주소,단지분류,도로명주소,전용면적별 세대현황1,전용면적별 세대현황2,85_135이하,135초과,주거전용면적
A13486102,천호금호,서울,강동구,천호동,10138,10138,232,2,3,1,금호건설,1987-06-01 00:00:00.0,784.08,,14|,37,,,,,60000000,,,,42000000,,,11040000,,0,0,2,,,,,,1850000,230000,,10200000,0,1,,44번지,,5314,127.142214,37.5448169,양재대로,1557,서울특별시 강동구 천호동 44 천호금호,아파트,서울특별시 강동구 양재대로 1557,232,0,0,,6405.52
A13580601,개포우성9차,서울,강남구,개포1동,25406,25406,232,4,,,우성건설,,1795.56,,15층,122,관리사무소 경노당등,대행위탁,,,0,,,,0,격일,,0,,25406,1600000,8대,,18년,로프식,12층 제외 운행,,17524320,861190,,0,0,2,고가수조방식,651-1 관리사무소,213-80-02213,135806,127.057256,37.4848288,개포로,311,서울특별시 강남구 개포동 651-1 개포우성9차,아파트,서울특별시 강남구 개포로 311,0,232,0,,19404.48
A13406003,둔촌하이츠,서울,강동구,둔촌동,31100,24629,232,700,4,2,중앙건설(주),,0,,20,244,경노당 어린이놀이터 관리실 경비실 ,위탁,관리유 ,없음 ,171480670,30,승강기 지하12층주차장 단지외각 ,없음,63500000,24시간 격일제 ,없음 ,21500000,,24625,3130000,5,,12,동양,17-20,쉬브로프IPMCOPMCU.MJC,3630000,580000,0.3,2000000,0,1,저수조 급수 ,둔촌하이츠아파트,2128001415,5371,127.1424221,37.5295514,명일로,113,서울특별시 강동구 둔촌동 545 둔촌하이츠,아파트,서울특별시 강동구 명일로 113,117,82,33,,17712.48
A13003402,세양청마루,서울,동대문구,답십리2동,32752,24435,231,4,2,2,세양건설산업(주),2005-04-01 00:00:00.0,0,105.78,22|,263,관리소 노인정 어린이놀이터,대행위탁,화재수신반(관리 비관리) 승강기비상호출(관리 비관리) CCTV 야간당직자(관리 비관리),,0,,놀이터(1대) 주차장(지하1층/지하2층) 엘리베이터(7대),택배수령,33600000,격일제,,21099040,,24435,3104640,7,유지보수,4,한국미쓰비시엘리베이터,101102동 22층/103동 13층,현재 없음,9240000,1031580,정기보수 월 1회,0,0,3,부스터방식,997,204-80-06855,130738,127.065531,37.5735797,답십리로59길,7,서울특별시 동대문구 답십리동 997 세양청마루,아파트,서울특별시 동대문구 답십리로59길 7,0,231,0,,19628.4
A13527004,도곡삼성,서울,강남구,도곡동,22031,21309,231,5,10,2,삼성건설,1994-12-01 00:00:00.0,2370.66,108|101|95|83,5|12,219,관리소 어린이놀이터 노인정 판매시설 등,관리대행,관리,,113113500, 2대, 승강기내부 현관 외곽요처,,150554300, 격일제  , 경비실 관리,23194200,0.5,21309,3025200, 7대, 점검봇 계약, 18년, cv-10, 3층이상 매 층, 주기적 교체,5544000,0, 3건,6283620,0,4,고가수조식,161번지,213-80-02983,135270,127.0469594,37.4887551,남부순환로379길,14,서울특별시 강남구 도곡동 161 도곡삼성,아파트,서울특별시 강남구 남부순환로379길 14,115,116,0,,15515.11
A15807205,롯데캐슬,서울,양천구,신정동,40695,25209,230,,4,3,롯데건설,2004-11-01 00:00:00.0,2517.72,162.3|140.82|103.8|75,15|,420,관리사무소 경비실 경로당 입주자대표회의실,위탁관리,관리,,106645190,3대,승강기 내부 지하주차장,,56584000,격일제,,31368000,,25209,2260000,11대,일반 보수점검,4년,LG오티스 DI-1,6~15층,,8580000,0,,17311090,0,4,지하저수조,롯데캐슬,117-80-07531,8015,126.874888,37.5198784,신목로12길,22,서울특별시 양천구 신정동 1309 롯데캐슬,아파트,서울특별시 양천구 신목로12길 22,10,182,38,,20553.26
A13983803,상계대림e-편한세상,서울,노원구,상계1동,30128,24491,230,4,4,2,(주)삼호,2002-06-01 00:00:00.0,1252.34,81.3888|110.3476|111.141|146.9098,19|,254,관리사무실경로당어린이놀이터주차장오수정화조공동저수시설승강기,위탁관리,당직자 있음,,431500000,30개,광장놀이터지하주차장엘리베이터,있음,59760000,격일제,용역,18000000,,24491,3360000,5대,위탁관리,7년,리프트식,지하2층부터 지상19층,,5547000,750000,2건정도,9418000,0,2,고가수조,,210-80-05230,139838,127.0508626,37.6748543,동일로239길,68,서울특별시 노원구 상계동 1301 상계대림e-편한세상,아파트,서울특별시 노원구 동일로239길 68,80,113,37,,18165.88
A13920501,상계금호타운,서울,노원구,상계5동,28844,28452,230,4,2,2,금호건설,1995-05-01 00:00:00.0,2126.21,,14|,217,놀이터2개소 노인정 관리사무소,전기안전대행업체위탁,관리,무,0,2,지하주차장 16개 엘레베이터9개 외곽4개,무,0,격일제,,0,(115세대/1명),28452,0,14층용 7대 13층용 1대 12층용 1대,전체,(1994)년도 설치 (16)연간 운행,로프식,12층 제외 운행,,0,1176120,1건/월,0,0,2,고가수조,,217-80-03835,139205,127.0688307,37.6672856,한글비석로46나길,10,서울특별시 노원구 상계동 1270 상계금호타운,아파트,서울특별시 노원구 한글비석로46나길 10,0,230,0,,19448.55
A15303102,시흥베르빌,서울,금천구,시흥1동,32458,23233,229,4,4,2,(주)건설알포메,,0,,20,253,관리사무소65㎡ 노인정99㎡ 어린이놀이터471㎡ 조경시설2045㎡,대행위탁,화재(관리) 승강기(관리) CCTV(관리),홈네트(무) 주차관제(유),103513310,32,정문( 1대) 놀이터(1대) 주차장( 15대) 엘리베이터(7대) 출입현관(7대) 자전거보관소(1),택배수령,56016000,격일제 교대(24시간),1개소 2회/주,24300000,112( 세대/명),22958,2504880,15층용 2대 17층용 1대  19층용 1대 20층용 3대 총7대,부분단순(POG)계약,(2004)년도 설치 (5)연간 운행,로프식,전층운행,쉬브/로브( 년) 카( 년) 권상기( 년) 전기제어반( 년) 브레이커( 년) 완충기( 년) 균형추( 년) 안전장치( 년) 전면교체( 년),9240000,1004850,1.5건/월,3680400,0,2,부스터방식,1015,119-82-64134,153031,126.897555,37.457587,시흥대로77길,23,서울특별시 금천구 시흥동 1015 시흥베르빌,아파트,서울특별시 금천구 시흥대로77길 23,14,215,0,,18157.96
A12208002,신사이랜드타운,서울,은평구,신사동,26579,20847,228,4,2,2,이랜드건설,2004-05-01 00:00:00.0,1372.02,,24|,223,관리사무소노인정.기계실.지하주차장.경비실.정화조.근린생활시설(관리외).어린이 놀이터.,전기안전대행업체위탁,관리,유,96718750,16분할 1대.9분할 1대,놀이터 지하주차장 엘레베이터 정문입구,무,33138880,격일제,위탁(구청 지정업체),21000000,,20847,2400000,6대,전체(FM),2004.05설치 5년운행,로프식,1층제외,쉬브 로프 교체,4752000,926640,건/월,13178605,0,3,부스터방식,이랜드타운아파트,110-80-04566,3446,126.904003,37.5904992,은평터널로,121-6,서울특별시 은평구 신사동 367 신사이랜드타운,아파트,서울특별시 은평구 은평터널로 121-6,110,118,0,,16618.2166
